Ranking,University Name,Entry Standards,Student Satisfaction,Research Quality,Graduate Prospects,Overall Score
1.0,Cambridge,600.0,4.17,3.33,89.0,1000.0
2.0,Oxford,574.0,4.17,3.34,86.7,998.0
3.0,London School of Economics,518.0,3.89,3.35,78.5,940.0
4.0,Imperial College London,567.0,4.15,3.36,90.8,938.0
5.0,St Andrews,520.0,4.23,3.13,83.2,927.0
6.0,Durham,524.0,4.14,3.14,83.6,916.0
7.0,Loughborough,410.0,4.26,2.95,83.6,897.0
8.0,Warwick,485.0,4.09,3.22,79.5,889.0
9.0,Lancaster,423.0,4.17,3.15,82.6,885.0
10.0,University College London,505.0,3.95,3.22,82.9,880.0
11.0,Surrey,431.0,4.31,2.98,78.7,870.0
11.0,Bath,478.0,4.18,3.17,85.1,870.0
13.0,Exeter,466.0,4.18,3.08,79.6,855.0
14.0,East Anglia (UEA),423.0,4.17,3.11,70.1,841.0
15.0,Birmingham,423.0,4.08,3.07,86.5,832.0
16.0,Leeds,430.0,4.16,3.13,78.5,827.0
17.0,Southampton,417.0,4.08,3.15,77.9,821.0
18.0,Sussex,375.0,4.06,3.01,84.2,817.0
19.0,Edinburgh,485.0,3.93,3.18,78.6,808.0
20.0,York,430.0,4.14,3.17,75.7,807.0
21.0,King's College London,462.0,3.91,3.23,85.7,799.0
21.0,Nottingham,424.0,4.06,3.09,81.2,799.0
23.0,Kent,358.0,4.12,2.95,76.6,796.0
24.0,Bristol,476.0,3.96,3.18,79.5,791.0
25.0,Manchester,433.0,4.05,3.16,78.4,773.0
25.0,Newcastle,430.0,4.14,3.09,79.3,773.0
27.0,Reading,371.0,4.09,3.03,70.2,764.0
27.0,Sheffield,415.0,4.14,3.17,75.5,764.0
29.0,Glasgow,467.0,4.12,3.1,79.5,762.0
30.0,Aston,353.0,4.17,3.05,78.8,761.0
31.0,"Queen Mary, University of London",404.0,4.12,3.18,73.0,756.0
32.0,Leicester,390.0,4.03,2.93,72.1,755.0
33.0,"Queen's, Belfast",385.0,4.13,2.99,78.4,754.0
34.0,Heriot-Watt,406.0,4.12,3.06,77.9,751.0
35.0,Cardiff,399.0,4.09,3.27,79.8,747.0
35.0,Dundee,426.0,4.19,3.03,79.9,747.0
37.0,"Royal Holloway, University of London",402.0,4.15,3.09,62.4,743.0
38.0,Liverpool,383.0,4.01,3.06,75.8,742.0
39.0,Stirling,374.0,3.99,2.96,72.8,730.0
40.0,City,371.0,4.2,2.95,78.0,727.0
41.0,Essex,297.0,4.22,3.05,63.7,726.0
42.0,Aberdeen,441.0,4.0,2.97,76.0,718.0
43.0,"SOAS, University of London",397.0,3.98,2.82,68.1,714.0
44.0,"St George's, University of London",429.0,4.0,2.99,93.4,713.0
45.0,Swansea,311.0,4.13,3.09,81.1,702.0
46.0,Keele,350.0,4.28,2.88,75.6,691.0
46.0,Harper Adams,338.0,4.11,2.66,73.7,691.0
48.0,Strathclyde,470.0,4.01,3.04,71.7,688.0
49.0,Lincoln,339.0,4.09,2.54,70.5,683.0
50.0,Coventry,316.0,4.28,2.67,73.8,679.0
51.0,"Goldsmiths, University of London",353.0,3.98,2.9,55.5,677.0
52.0,Brunel University London,349.0,4.06,2.67,63.0,672.0
53.0,Bradford,321.0,4.08,2.95,75.0,656.0
54.0,De Montfort,292.0,4.14,2.67,76.8,648.0
55.0,Buckingham,311.0,4.36,,83.3,641.0
56.0,Bournemouth,321.0,3.9,2.72,65.8,638.0
57.0,Manchester Metropolitan,349.0,4.1,2.74,63.2,637.0
58.0,Falmouth,310.0,4.14,2.04,73.5,634.0
59.0,Northumbria,361.0,4.11,2.71,66.0,633.0
59.0,University for the Creative Arts,316.0,4.08,2.72,51.7,633.0
61.0,Portsmouth,321.0,4.14,2.75,66.8,631.0
62.0,Bangor,342.0,4.26,2.99,67.2,629.0
63.0,Nottingham Trent,305.0,4.15,2.59,66.3,627.0
64.0,Robert Gordon,385.0,4.09,2.35,82.8,625.0
65.0,Oxford Brookes,335.0,4.15,2.66,68.6,624.0
66.0,Norwich University of the Arts,343.0,4.15,2.69,63.1,621.0
67.0,"West of England, Bristol",323.0,4.03,2.7,70.4,614.0
68.0,Hull,335.0,4.05,2.7,66.5,606.0
69.0,Roehampton,275.0,4.02,2.83,60.0,604.0
70.0,Ulster,307.0,4.18,2.91,62.3,600.0
71.0,Edge Hill,327.0,4.16,2.22,63.1,599.0
72.0,Cardiff Metropolitan,315.0,4.03,3.0,59.0,598.0
72.0,Sheffield Hallam,304.0,4.03,2.76,64.7,598.0
74.0,Liverpool John Moores,342.0,4.12,2.79,63.0,596.0
74.0,Winchester,293.0,4.17,2.32,60.5,596.0
76.0,Bath Spa,321.0,4.2,2.52,54.5,586.0
76.0,Arts University Bournemouth,322.0,4.07,2.3,61.4,586.0
78.0,Middlesex,297.0,4.02,2.58,64.7,580.0
79.0,Hertfordshire,302.0,4.01,2.61,74.7,577.0
80.0,Chichester,298.0,4.17,2.5,56.9,575.0
81.0,Huddersfield,331.0,4.13,2.65,73.6,572.0
82.0,Glasgow Caledonian,385.0,3.98,2.67,70.1,568.0
83.0,Liverpool Hope,307.0,4.28,2.21,53.4,567.0
84.0,Plymouth,314.0,4.08,2.74,60.1,566.0
85.0,"University of the Arts, London",314.0,3.92,3.12,59.0,561.0
86.0,Abertay,338.0,4.04,2.16,65.6,557.0
87.0,Aberystwyth,289.0,4.01,2.84,62.3,555.0
87.0,Northampton,280.0,4.14,2.09,59.4,555.0
89.0,Gloucestershire,319.0,4.06,2.38,55.2,551.0
90.0,Brighton,301.0,4.0,2.84,66.6,550.0
91.0,Derby,302.0,4.16,2.07,59.1,546.0
92.0,Edinburgh Napier,337.0,4.05,2.52,68.6,544.0
93.0,Queen Margaret,350.0,4.02,2.65,58.2,540.0
94.0,Chester,303.0,4.12,2.08,63.1,539.0
95.0,Salford,316.0,4.05,2.54,59.2,535.0
95.0,Birmingham City,316.0,3.96,2.64,64.3,535.0
97.0,Worcester,300.0,4.09,2.08,63.1,526.0
98.0,Greenwich,337.0,4.08,2.33,58.1,525.0
99.0,South Wales,321.0,3.97,2.51,58.4,515.0
99.0,Central Lancashire,317.0,4.06,2.51,62.3,515.0
101.0,Staffordshire,274.0,4.11,2.2,57.7,506.0
102.0,Westminster,315.0,3.96,2.74,54.9,503.0
103.0,Leeds Trinity,284.0,4.11,2.01,65.8,502.0
103.0,Royal Agricultural University,301.0,4.01,1.4,69.7,502.0
103.0,Sunderland,289.0,4.1,2.12,62.2,502.0
106.0,West London,301.0,3.99,1.92,60.0,498.0
107.0,York St John,300.0,4.11,2.04,64.8,490.0
107.0,Teesside,305.0,4.13,2.58,59.2,490.0
109.0,Kingston,288.0,3.97,2.7,60.6,485.0
110.0,Anglia Ruskin,254.0,4.14,2.37,64.7,483.0
110.0,West of Scotland,316.0,4.08,2.36,65.1,483.0
112.0,Canterbury Christ Church,270.0,4.02,2.38,57.6,475.0
113.0,Buckinghamshire New,256.0,4.07,2.19,57.1,460.0
114.0,Leeds Beckett,288.0,3.98,2.16,58.3,446.0
115.0,Southampton Solent,275.0,4.02,1.63,54.1,443.0
115.0,London South Bank,254.0,3.99,2.52,67.4,443.0
117.0,Newman,298.0,4.15,2.13,52.6,442.0
118.0,"St Mary's, Twickenham",291.0,4.13,1.98,66.6,440.0
119.0,Bishop Grosseteste,284.0,4.07,1.96,67.8,438.0
120.0,Bedfordshire,234.0,4.08,2.52,57.9,423.0
121.0,Cumbria,286.0,3.93,2.13,64.5,422.0
122.0,Bolton,283.0,4.1,2.04,59.9,406.0
123.0,University of Wales Trinity Saint David,284.0,3.99,2.39,50.2,397.0
124.0,St Mark and St John,288.0,3.92,,60.5,379.0
125.0,Glyndwr,236.0,4.1,2.15,66.1,378.0
126.0,East London,277.0,3.93,2.71,45.2,376.0
127.0,London Metropolitan,247.0,4.0,2.44,47.0,322.0
